stage,fold,model,f1,sensitivity,specificity,auc,params,config_hash,extra
E1,f0,SMV,0.2449,0.8276,0.8518,0.8397,0,989aa3471b,thr=3.60
E1,f0,SVM,0.5385,0.4828,0.9907,0.9839,~1k,989aa3471b,
E1,f0,RF,0.6786,0.6552,0.9917,0.9899,~250 trees,989aa3471b,
E1,f0,1D-CNN,0.6250,0.8621,0.9731,0.9806,10018,989aa3471b,
E1,f0,CNN-LSTM,0.5833,0.9655,0.9596,0.9921,8466,989aa3471b,
E1,f0,Proposed,0.4444,0.4138,0.9865,0.9337,8219,989aa3471b,3-class merged
E1,f1,SMV,0.2960,0.8250,0.8428,0.8339,0,989aa3471b,thr=3.60
E1,f1,SVM,0.4615,0.3750,0.9895,0.9824,~1k,989aa3471b,
E1,f1,RF,0.6579,0.6250,0.9885,0.9834,~250 trees,989aa3471b,
E1,f1,1D-CNN,0.5952,0.6250,0.9801,0.9777,10018,989aa3471b,
E1,f1,CNN-LSTM,0.6545,0.9000,0.9644,0.9885,8466,989aa3471b,
E1,f1,Proposed,0.5412,0.5750,0.9769,0.9617,8219,989aa3471b,3-class merged
E1,f2,SMV,0.3727,0.8824,0.8840,0.8832,0,989aa3471b,thr=3.60
E1,f2,SVM,0.5517,0.4706,0.9904,0.9730,~1k,989aa3471b,
E1,f2,RF,0.7667,0.6765,0.9964,0.9900,~250 trees,989aa3471b,
E1,f2,1D-CNN,0.6914,0.8235,0.9773,0.9814,10018,989aa3471b,
E1,f2,CNN-LSTM,0.6596,0.9118,0.9653,0.9903,8466,989aa3471b,
E1,f2,Proposed,0.5250,0.6176,0.9701,0.9512,8219,989aa3471b,3-class merged
E1,f3,SMV,0.3247,0.9615,0.8780,0.9198,0,989aa3471b,thr=3.60
E1,f3,SVM,0.6296,0.6538,0.9870,0.9897,~1k,989aa3471b,
E1,f3,RF,0.8800,0.8462,0.9976,0.9963,~250 trees,989aa3471b,
E1,f3,1D-CNN,0.6176,0.8077,0.9751,0.9853,10018,989aa3471b,
E1,f3,CNN-LSTM,0.6667,0.9615,0.9716,0.9913,8466,989aa3471b,
E1,f3,Proposed,0.5600,0.8077,0.9668,0.9793,8219,989aa3471b,3-class merged
E1,f4,SMV,0.3800,0.9268,0.8729,0.8999,0,989aa3471b,thr=3.60
E1,f4,SVM,0.6389,0.5610,0.9916,0.9883,~1k,989aa3471b,
E1,f4,RF,0.7805,0.7805,0.9905,0.9905,~250 trees,989aa3471b,
E1,f4,1D-CNN,0.6154,0.8780,0.9580,0.9877,10018,989aa3471b,
E1,f4,CNN-LSTM,0.6393,0.9512,0.9559,0.9894,8466,989aa3471b,
E1,f4,Proposed,0.6222,0.6829,0.9779,0.9669,8219,989aa3471b,3-class merged
E2,A-none,LODO-FallAllD,0.1918,0.2959,0.9491,0.7048,8186,989aa3471b,
E2,B-none,LODO-KFall,0.2764,0.1750,0.9715,0.7065,8186,989aa3471b,
E2,C-none,LODO-SisFall,0.1294,0.3333,0.8695,0.7590,8186,989aa3471b,
E2,D-none,LODO-UMAFall,0.5337,0.5460,0.9746,0.9239,8186,989aa3471b,
E3,KFall-s0,proposed-3class,nan,nan,nan,nan,8219,989aa3471b,started s0
E3,KFall-s1,proposed-3class,nan,nan,nan,nan,8219,989aa3471b,started s1
E3,KFall-s2,proposed-3class,nan,nan,nan,nan,8219,989aa3471b,started s2
E3,KFall-s3,proposed-3class,nan,nan,nan,nan,8219,989aa3471b,started s3
E3,KFall-s4,proposed-3class,nan,nan,nan,nan,8219,989aa3471b,started s4
E4,host-fp32,Proposed-3class,0.6154,0.8372,0.9601,0.9785,8219,989aa3471b,
E4,host-int8,Proposed-3class,0.6261,0.8372,0.9622,0.9779,8219,989aa3471b,size_kb=19.5 lat_ms=0.02
E5,win1.0-f0,Proposed,0.6071,0.5862,0.9896,0.9733,,989aa3471b,win1.0
E5,win1.0-f1,Proposed,0.5814,0.6250,0.9780,0.9579,,989aa3471b,win1.0
E5,win1.0-f2,Proposed,0.6296,0.5000,0.9964,0.9790,,989aa3471b,win1.0
E5,win1.0-f3,Proposed,0.7037,0.7308,0.9893,0.9707,,989aa3471b,win1.0
