threshold,k_consecutive,cooldown_s,false_alarms_per_hour,adl_hours,detection_rate,preimpact_rate,mean_lead_ms,median_lead_ms,n_fall_trials
0.5,1,5.0,216.106,6.88,1.0,0.9177,663.5,560.0,2346
0.5,2,5.0,48.137,6.88,0.997,0.4437,379.8,280.0,2346
0.5,3,5.0,8.144,6.88,0.9851,0.1049,318.5,240.0,2346
0.5,4,5.0,1.745,6.88,0.9604,0.0149,384.6,260.0,2346
0.7,1,5.0,167.533,6.88,1.0,0.8917,588.7,500.0,2346
0.7,2,5.0,30.394,6.88,0.994,0.376,341.4,240.0,2346
0.7,3,5.0,4.945,6.88,0.9783,0.0669,341.8,260.0,2346
0.7,4,5.0,1.018,6.88,0.9459,0.0107,401.6,280.0,2346
0.9,1,5.0,84.93,6.88,0.9979,0.8018,448.5,360.0,2346
0.9,2,5.0,10.325,6.88,0.9838,0.2195,263.5,180.0,2346
0.9,3,5.0,1.891,6.88,0.9629,0.0234,303.6,200.0,2346
0.9,4,5.0,0.436,6.88,0.916,0.0021,272.0,260.0,2346
0.95,1,5.0,55.844,6.88,0.9962,0.7383,393.2,340.0,2346
0.95,2,5.0,5.09,6.88,0.9787,0.1573,229.2,160.0,2346
0.95,3,5.0,1.163,6.88,0.9544,0.0119,319.3,180.0,2346
0.95,4,5.0,0.436,6.88,0.8858,0.0013,353.3,320.0,2346
0.99,1,5.0,21.669,6.88,0.9893,0.5482,308.4,260.0,2346
0.99,2,5.0,0.873,6.88,0.9557,0.0618,152.8,120.0,2346
0.99,3,5.0,0.291,6.88,0.9079,0.0013,146.7,200.0,2346
0.99,4,5.0,0.145,6.88,0.7805,0.0,,,2346
