threshold,n_fall_trials,detection_rate,preimpact_rate,mean_ms,std_ms,median_ms,p25_ms,p75_ms,min_ms,max_ms,false_alarms_per_hour,sensitivity,specificity,f1
0.05,2346,1.0,0.9629156010230179,822.647189021691,555.5960112887025,700.0,420.0,1100.0,20.0,4100.0,541.1379749136521,0.9641013608634444,0.9248419479286595,0.8550322535895124
0.075,2346,1.0,0.959079283887468,805.84,544.1981920015701,680.0,420.0,1080.0,20.0,4000.0,505.94437375022727,0.9603472548099484,0.9297299480902462,0.8603559417040358
0.1,2346,1.0,0.9522591645353794,785.9982094897045,537.7041050267287,660.0,400.0,1060.0,20.0,4000.0,473.6593346664243,0.9561238854997653,0.9342139812963299,0.8649356162445166
0.125,2346,1.0,0.9497016197783461,769.9102333931777,529.1025827842103,660.0,400.0,1040.0,20.0,4000.0,448.9365569896383,0.9541686219302362,0.9376477004181057,0.8691625405193601
0.15,2346,1.0,0.9462915601023018,759.1261261261261,522.9977282281826,640.0,380.0,1020.0,20.0,4000.0,429.4491910561716,0.9518223056468011,0.9403542790199761,0.872120104625748
0.175,2346,1.0,0.9454390451832907,749.1343552750226,517.0740921326379,640.0,380.0,1000.0,20.0,3820.0,415.4880930739866,0.949867042077272,0.9422933204063908,0.8741183244566
0.2,2346,1.0,0.943307757885763,740.2440126525079,515.1711328128476,620.0,380.0,980.0,20.0,3820.0,403.7084166515179,0.9480681995933051,0.9439293865761781,0.875740499927756
0.225,2346,1.0,0.9420289855072463,733.8733031674208,512.6984085757019,620.0,380.0,960.0,20.0,3820.0,392.3650245409926,0.9468168309088065,0.9455048577026399,0.8775643349039506
0.25,2346,1.0,0.9386189258312021,725.6584922797457,503.9305522063083,620.0,360.0,960.0,20.0,3520.0,380.43992001454285,0.9450179884248396,0.9471611222202024,0.8792432235764962
0.275,2346,1.0,0.9373401534526854,722.1828103683492,500.9237136063939,600.0,360.0,960.0,20.0,3520.0,369.0965279040175,0.9440012513686845,0.9487365933466643,0.8812148645688836
0.3,2346,1.0,0.9360613810741688,716.5482695810565,500.68033672455704,600.0,360.0,960.0,20.0,3520.0,360.5162697691329,0.9420459877991553,0.9499282958653982,0.882094470889784
0.325,2346,1.0,0.9326513213981245,708.327239488117,497.8905583438915,600.0,360.0,940.0,20.0,3520.0,350.0454462824941,0.940012513686845,0.9513825769052091,0.8833602822284287
0.35,2346,1.0,0.9313725490196079,701.070938215103,494.60591251798303,600.0,360.0,920.0,20.0,3520.0,340.15633521177966,0.938604723916784,0.9527560645539195,0.8848337388483373
0.375,2346,1.0,0.9300937766410913,691.6131989000917,490.3391713877155,580.0,340.0,900.0,20.0,3520.0,331.2852208689329,0.9373533552322854,0.9539881637682037,0.8861695441605975
0.4,2346,1.0,0.928388746803069,686.198347107438,488.8271989642373,580.0,340.0,900.0,20.0,3520.0,322.5595346300673,0.9353980916627561,0.9552000646347129,0.8871087375760273
0.425,2346,1.0,0.927536231884058,681.6544117647059,487.3003192662682,580.0,340.0,900.0,20.0,3520.0,315.72441374295585,0.9338338808071328,0.9561493869801451,0.8878313566568762
0.45,2346,1.0,0.9241261722080136,673.9483394833949,487.0665838566518,560.0,340.0,880.0,20.0,3520.0,308.4530085439011,0.9321914594087283,0.9571593043689026,0.8886155222545292
0.475,2346,1.0,0.9211423699914748,668.9680703378066,483.411158700113,560.0,340.0,880.0,20.0,3520.0,299.87275040901653,0.930627248553105,0.9583510068876366,0.8897446442591693
0.5,2346,1.0,0.9177323103154306,663.4556432884348,478.85870763058495,560.0,340.0,860.0,20.0,3520.0,292.892201417924,0.9292194587830439,0.9593205275808439,0.8905963044863386
0.525,2346,1.0,0.9156010230179028,653.0074487895716,468.93286470652833,560.0,320.0,860.0,20.0,3520.0,283.2939465551718,0.9274988268418582,0.9606536185340039,0.8918888429285902
0.55,2346,1.0,0.9130434782608695,646.5826330532213,465.72713790512825,560.0,320.0,840.0,20.0,3520.0,276.0225413561171,0.9253871421867668,0.9616635359227615,0.8924422989892895
0.575,2346,1.0,0.9100596760443308,638.9414519906323,459.99511639882905,540.0,320.0,840.0,20.0,3520.0,265.5517178694783,0.9233536680744564,0.9631178169625725,0.8937845408433643
0.6,2346,1.0,0.9066496163682864,627.3248707099201,453.66266756774513,540.0,300.0,820.0,20.0,3520.0,256.3897473186693,0.9213201939621462,0.9643903128724071,0.8948307949409398
0.625,2346,1.0,0.9045183290707587,617.7756833176248,451.487384385035,520.0,300.0,800.0,20.0,3520.0,247.66406107980367,0.9192867198498358,0.9656022137389162,0.8957817322714628
0.65,2346,1.0,0.9002557544757033,607.5662878787879,448.3578468851559,520.0,300.0,780.0,20.0,3520.0,234.86638792946738,0.917018614109182,0.9673796683431295,0.8975732986297175
0.675,2346,1.0,0.8955669224211423,599.6477867682056,442.52280701379897,500.0,300.0,780.0,20.0,3520.0,225.84984548263952,0.9142812451118411,0.968631965905189,0.898228898536248
0.7,2346,1.0,0.8917306052855924,588.7380497131932,437.6568653231164,500.0,280.0,760.0,20.0,3520.0,215.08816578803854,0.9109964023150321,0.9701266436405502,0.8990082198124494
0.725,2346,1.0,0.8849104859335039,575.3468208092486,431.3903287582543,480.0,280.0,740.0,20.0,3520.0,202.29049263770224,0.9082590333176912,0.9719040982447635,0.9005816207832493
