threshold,k,sens_trial,spec_trial,mean_lead_ms,std_lead_ms,preimpact_frac,fall_trials,adl_trials,youden
0.7,4,0.9128,0.9692,722.0,837.1,0.1844,814,1136,0.8819999999999999
0.95,2,0.8857,0.9754,302.4,258.3,0.1623,814,1136,0.8611
0.9,3,0.8759,0.9815,362.4,528.5,0.1178,814,1136,0.8574000000000002
0.9,2,0.93,0.9261,539.1,608.5,0.3659,814,1136,0.8561000000000001
0.5,4,0.9496,0.8944,1063.0,1176.0,0.326,814,1136,0.8439999999999999
0.7,3,0.9545,0.8847,815.9,906.5,0.4067,814,1136,0.8392
0.95,3,0.8071,0.9965,172.6,179.8,0.0289,814,1136,0.8036000000000001
0.95,1,0.9582,0.8363,539.5,509.1,0.6821,814,1136,0.7945000000000002
0.9,4,0.7801,0.9938,276.9,336.0,0.0205,814,1136,0.7739
0.3,4,0.9767,0.7694,1451.6,1581.6,0.4717,814,1136,0.7461
0.5,3,0.9668,0.7438,1137.6,1266.6,0.587,814,1136,0.7105999999999999
0.7,2,0.9767,0.7324,1015.9,1087.8,0.7333,814,1136,0.7091000000000001
0.95,4,0.6744,0.9991,140.0,40.0,0.0036,814,1136,0.6735
0.9,1,0.9865,0.6778,822.6,806.2,0.8506,814,1136,0.6642999999999999
0.3,3,0.9853,0.5731,1507.5,1597.6,0.7032,814,1136,0.5584
0.5,2,0.9865,0.5361,1397.6,1441.8,0.8493,814,1136,0.5226000000000002
0.7,1,0.9963,0.3715,1517.4,1406.7,0.9593,814,1136,0.3677999999999999
0.3,2,0.9939,0.3266,1762.5,1699.6,0.9172,814,1136,0.3205
0.5,1,0.9975,0.2007,1997.5,1658.5,0.9778,814,1136,0.19819999999999993
0.3,1,1.0,0.1012,2410.6,1792.4,0.9853,814,1136,0.10119999999999996
