model,fold,n_train,n_test,train_subjects,test_subjects,seconds,signature,macro_f1_3class,bin_sensitivity,bin_specificity,bin_precision,bin_f1,bin_tp,bin_fp,bin_tn,bin_fn,bin_auc,bin_auprc,bkg_recall,bkg_precision,bkg_f1,bkg_support,alert_recall,alert_precision,alert_f1,alert_support,fall_recall,fall_precision,fall_f1,fall_support,protocol,dataset,task,params,lo,hi
smv_threshold,fold0,90726,23740,20,5,1.5,2574e6104c95,0.48638686626565963,0.8042895442359249,0.9441298094210716,0.4911993450675399,0.6099110546378653,1200,1243,21005,292,0.9677262010116522,0.7214300577077114,0.9667835311039195,0.9788386274688268,0.9727737325313193,22248,0.0,0.0,0.0,0,0.0,0.0,0.0,1492,grouped5,sisfall,postfall,2,0.1,3.700000000000002
smv_threshold,fold1,90811,23655,20,5,1.6,2574e6104c95,0.48750311572364097,0.8126666666666666,0.9415481832543444,0.48488464598249803,0.6073741903338316,1219,1295,20860,281,0.9746520273828331,0.7593650681137012,0.9710674791243512,0.9789770658900618,0.9750062314472819,22155,0.0,0.0,0.0,0,0.0,0.0,0.0,1500,grouped5,sisfall,postfall,2,0.1,3.900000000000002
smv_threshold,fold2,95119,19347,20,5,1.6,2574e6104c95,0.4815934896764083,0.5966666666666667,0.9334325232820851,0.37214137214137216,0.4583866837387964,716,1208,16939,484,0.9387032291838872,0.4865499183212855,0.9652835179368491,0.9610995281466037,0.9631869793528166,18147,0.0,0.0,0.0,0,0.0,0.0,0.0,1200,grouped5,sisfall,postfall,2,0.1,4.000000000000002
smv_threshold,fold3,90626,23840,20,5,1.5,2574e6104c95,0.4834105990364512,0.848,0.9221128021486124,0.42231075697211157,0.5638297872340425,1272,1740,20600,228,0.9678024619516563,0.7071239710691563,0.9521933751119069,0.9819054652880355,0.9668211980729026,22340,0.0,0.0,0.0,0,0.0,0.0,0.0,1500,grouped5,sisfall,postfall,2,0.1,3.900000000000002
smv_threshold,fold4,90582,23884,20,5,1.5,2574e6104c95,0.479363860211896,0.752,0.9272694781987134,0.409288824383164,0.5300751879699248,1128,1628,20756,372,0.9513933613295211,0.5263438494125873,0.9479985704074338,0.9697025087967829,0.9587277204237921,22384,0.0,0.0,0.0,0,0.0,0.0,0.0,1500,grouped5,sisfall,postfall,2,0.1,3.900000000000002
svm,fold0,90726,23740,20,5,11.1,2574e6104c95,0.9741815676263832,0.9416890080428955,0.9973930240920532,0.9603554340396445,0.9509306260575295,1405,58,22190,87,0.9951285195500297,0.9823668056507383,0.997482919813017,0.9960949773329144,0.9967884654254722,22248,0.0,0.0,0.0,0,0.9416890080428955,0.9616700889801506,0.9515746698272943,1492,grouped5,sisfall,postfall,0,20000
svm,fold1,90811,23655,20,5,11.3,2574e6104c95,0.9806813842726099,0.9693333333333334,0.9972466711803205,0.9597359735973597,0.9645107794361527,1454,61,22094,46,0.9995030768073422,0.9913810041865656,0.9972466711803205,0.9978321741486768,0.997539336749667,22155,0.0,0.0,0.0,0,0.968,0.9596827495042961,0.9638234317955526,1500,grouped5,sisfall,postfall,0,20000
svm,fold2,95119,19347,20,5,10.7,2574e6104c95,0.9687342463810368,0.9358333333333333,0.9964732462666005,0.9460825610783488,0.9409300377042312,1123,64,18083,77,0.9980261659411106,0.9686898224160174,0.9965283517936849,0.9957601453664445,0.9961441004737248,18147,0.0,0.0,0.0,0,0.9358333333333333,0.9468802698145026,0.9413243922883486,1200,grouped5,sisfall,postfall,0,20000
svm,fold3,90626,23840,20,5,10.9,2574e6104c95,0.9845982223662835,0.9766666666666667,0.9977170993733214,0.966358839050132,0.9714854111405836,1465,51,22289,35,0.9995538943598925,0.9924727062211871,0.9977170993733214,0.9983874580067189,0.9980521661256018,22340,0.0,0.0,0.0,0,0.976,0.9663366336633663,0.9711442786069652,1500,grouped5,sisfall,postfall,0,20000
svm,fold4,90582,23884,20,5,11.3,2574e6104c95,0.9774750558777986,0.9686666666666667,0.9962026447462473,0.9447334200260078,0.956550362080316,1453,85,22299,47,0.9990892304026685,0.9863380263006353,0.9963813438170122,0.9978970917225951,0.9971386417490052,22384,0.0,0.0,0.0,0,0.9686666666666667,0.9471968709256845,0.9578114700065921,1500,grouped5,sisfall,postfall,0,20000
random_forest,fold0,90726,23740,20,5,68.6,2574e6104c95,0.9741815676263832,0.9416890080428955,0.997482919813017,0.9616700889801506,0.9515746698272943,1405,56,22192,87,0.9946565971408823,0.9812721544368865,0.997482919813017,0.9960949773329144,0.9967884654254722,22248,0.0,0.0,0.0,0,0.9416890080428955,0.9616700889801506,0.9515746698272943,1492,grouped5,sisfall,postfall,178804
random_forest,fold1,90811,23655,20,5,70.0,2574e6104c95,0.9815157308581074,0.9866666666666667,0.9961182577296321,0.9450830140485313,0.9654272667971299,1480,86,22069,20,0.9996607236891597,0.9943066888405673,0.9961182577296321,0.9990945719588936,0.997604194919085,22155,0.0,0.0,0.0,0,0.9866666666666667,0.9450830140485313,0.9654272667971299,1500,grouped5,sisfall,postfall,197156
random_forest,fold2,95119,19347,20,5,66.6,2574e6104c95,0.9552701056294017,0.88,0.9972447236457816,0.9547920433996383,0.9158716392020815,1056,50,18097,144,0.9979653202549549,0.9748761695568522,0.9972447236457816,0.9921056959596514,0.994668572056722,18147,0.0,0.0,0.0,0,0.88,0.9547920433996383,0.9158716392020815,1200,grouped5,sisfall,postfall,152454
random_forest,fold3,90626,23840,20,5,71.1,2574e6104c95,0.9837982147306235,0.98,0.9972247090420769,0.9595300261096605,0.9696569920844327,1470,62,22278,30,0.9996153685467024,0.9939199442758431,0.9972247090420769,0.9986551909628832,0.9979394373768141,22340,0.0,0.0,0.0,0,0.98,0.9595300261096605,0.9696569920844327,1500,grouped5,sisfall,postfall,189594
random_forest,fold4,90582,23884,20,5,69.4,2574e6104c95,0.9802421006825266,0.9713333333333334,0.9969174410293067,0.95478374836173,0.9629874421678785,1457,69,22315,43,0.9993745234691447,0.99148989504001,0.9969174410293067,0.998076751051078,0.997496759197175,22384,0.0,0.0,0.0,0,0.9713333333333334,0.95478374836173,0.9629874421678785,1500,grouped5,sisfall,postfall,190192
