model,fold,n_train,n_test,train_subjects,test_subjects,seconds,signature,macro_f1_3class,bin_sensitivity,bin_specificity,bin_precision,bin_f1,bin_tp,bin_fp,bin_tn,bin_fn,bin_auc,bin_auprc,bkg_recall,bkg_precision,bkg_f1,bkg_support,alert_recall,alert_precision,alert_f1,alert_support,fall_recall,fall_precision,fall_f1,fall_support,protocol,dataset,task,params,lo,hi,train_subsampled_to,best_val_macro_f1
smv_threshold,fold0,50459,11836,26,6,1.0,2574e6104c95,0.3316588124992986,0.7714044706874736,0.906391970417327,0.6736648250460405,0.7192292567833268,1829,886,8579,542,0.8804682081401366,0.7527966389004023,0.9379820390913893,0.9314867275207218,0.9347230995999158,9465,0.14285714285714285,0.03817787418655098,0.060253337897980146,616,0.0,0.0,0.0,1755,grouped5,kfall,preimpact,2,0.1,3.0000000000000013,,
smv_threshold,fold1,50480,11815,26,6,1.1,2574e6104c95,0.327223472622832,0.7515299877600979,0.9114694574967962,0.6896293523025084,0.7192502928543538,1842,829,8535,609,0.8774896340769469,0.6899457316442285,0.9408372490388722,0.9151345175028566,0.9278079090095308,9364,0.11987381703470032,0.03473491773308958,0.05386250885896526,634,0.0,0.0,0.0,1817,grouped5,kfall,preimpact,2,0.1,3.1000000000000014,,
smv_threshold,fold2,48872,13423,25,7,1.1,2574e6104c95,0.32492536361204755,0.762214983713355,0.8892120075046904,0.6407058107696988,0.696198347107438,2106,1181,9479,657,0.8752021655771556,0.7624673853879163,0.9283302063789869,0.9191900427271038,0.9237375151684869,10660,0.12061711079943899,0.0323673315769665,0.05103857566765578,713,0.0,0.0,0.0,2050,grouped5,kfall,preimpact,2,0.1,3.0000000000000013,,
smv_threshold,fold3,48902,13393,25,7,1.0,2574e6104c95,0.32602191697210214,0.6795502459592411,0.9253816251066654,0.7107680999632489,0.6948086940901742,1934,787,9760,912,0.8662603248145153,0.6959857758046019,0.9588508580639045,0.8871830862356347,0.9216258088034265,10547,0.1012987012987013,0.03911735205616851,0.05643994211287989,770,0.0,0.0,0.0,2076,grouped5,kfall,preimpact,2,0.1,3.2000000000000015,,
smv_threshold,fold4,50467,11828,26,6,1.0,2574e6104c95,0.3212094665277107,0.7193205944798301,0.9245223266124776,0.7031963470319634,0.7111670864819479,1694,715,8758,661,0.872885503396288,0.7005794193702625,0.9502797424258419,0.9116872594693134,0.930583553005634,9473,0.07142857142857142,0.021494370522006142,0.03304484657749803,588,0.0,0.0,0.0,1767,grouped5,kfall,preimpact,2,0.1,3.1000000000000014,,
svm,fold0,50459,11836,26,6,26.3,2574e6104c95,0.9121154057500943,0.9409531843104175,0.9843634442683571,0.9377889869693148,0.9393684210526316,2231,148,9317,140,0.9956379950284107,0.986397511285596,0.9846804014791336,0.984992601986895,0.9848364769905426,9465,0.7613636363636364,0.7701149425287356,0.7657142857142857,616,0.9886039886039886,0.9830028328611898,0.9857954545454546,1755,grouped5,kfall,preimpact,0,,,20000,
svm,fold1,50480,11815,26,6,26.2,2574e6104c95,0.9121222059140744,0.937984496124031,0.9838744126441692,0.9383673469387755,0.9381758824729647,2299,151,9213,152,0.9961489970617612,0.9876829823544994,0.9838744126441692,0.9835593039393616,0.9837168330574982,9364,0.7381703470031545,0.8082901554404145,0.7716405605935696,634,0.9950467804072647,0.9673622257891921,0.9810092240911557,1817,grouped5,kfall,preimpact,0,,,20000,
svm,fold2,48872,13423,25,7,29.1,2574e6104c95,0.9110855840017851,0.9377488237423091,0.9862101313320826,0.9463111760409058,0.9420105435375387,2591,147,10513,172,0.9954638111903545,0.986073703892025,0.9862101313320826,0.9834424695977549,0.9848243559718971,10660,0.729312762973352,0.8062015503875969,0.7658321060382917,713,0.9917073170731707,0.9736590038314177,0.9826002899951668,2050,grouped5,kfall,preimpact,0,,,20000,
svm,fold3,48902,13393,25,7,25.0,2574e6104c95,0.9124580181175915,0.9209416725228391,0.9906134445813976,0.9636029411764706,0.9417894358605822,2621,99,10448,225,0.9953183491277307,0.9865907043423038,0.9906134445813976,0.9784603858400449,0.9844994110718492,10547,0.7038961038961039,0.8416149068322981,0.7666195190947666,770,0.9850674373795761,0.987445678416224,0.9862551241861586,2076,grouped5,kfall,preimpact,0,,,20000,
svm,fold4,50467,11828,26,6,25.5,2574e6104c95,0.9222271816013481,0.9384288747346072,0.9888103029663253,0.9542314335060449,0.9462641832584029,2210,106,9367,145,0.9968035424403204,0.9886712290995827,0.9889158661458883,0.9845507094062007,0.9867284600800506,9473,0.7772108843537415,0.8189964157706093,0.7975567190226877,588,0.9790605546123373,0.9857549857549858,0.9823963657013061,1767,grouped5,kfall,preimpact,0,,,20000,
