model,fold,lodo_fold,method,train_datasets,test_dataset,n_train,n_test,seconds,signature,macro_f1_3class,bin_sensitivity,bin_specificity,bin_precision,bin_f1,bin_tp,bin_fp,bin_tn,bin_fn,bin_auc,bin_auprc,bkg_recall,bkg_precision,bkg_f1,bkg_support,alert_recall,alert_precision,alert_f1,alert_support,fall_recall,fall_precision,fall_f1,fall_support,params,best_val_macro_f1,coral_source_n
proposed,A:none,A,none,kfall+sisfall,fallalld,176761,66526,474.9,2574e6104c95,0.6645219785515992,0.2737068965517241,0.990876758929952,0.4626593806921675,0.3439404197698036,508,590,64080,1348,0.8767413214902715,0.3271094440714427,0.990876758929952,0.9793971999755456,0.9851035373333948,64670,0.0,0.0,0.0,0,0.2737068965517241,0.4626593806921675,0.3439404197698036,1856,7947,0.9671,
proposed,A:instance_norm,A,instance_norm,kfall+sisfall,fallalld,176761,66526,358.8,2574e6104c95,0.6862585013055232,0.3362068965517241,0.9885727539817536,0.4578136463683052,0.3876980428704566,624,739,63931,1232,0.8761049507646247,0.3483859374445516,0.9885727539817536,0.9810935653668492,0.98481895974059,64670,0.0,0.0,0.0,0,0.3362068965517241,0.4578136463683052,0.3876980428704566,1856,7947,0.9657,
proposed,A:coral,A,coral,kfall+sisfall,fallalld,176761,66526,137.3,2574e6104c95,0.5453487508285426,0.6266163793103449,0.8461110252048863,0.1046333783175888,0.1793231053889445,1163,9952,54718,693,0.8177909866004063,0.1360788144671136,0.8461264883253441,0.9874936836786256,0.9113605702769774,64670,0.0,0.0,0.0,0,0.6266163793103449,0.1046427928738528,0.1793369313801079,1856,7947,0.8223,3000.0
proposed,A:dann,A,dann,kfall+sisfall,fallalld,176761,66526,494.7,2574e6104c95,0.6459540123724028,0.2370689655172413,0.991201484459564,0.4360753221010902,0.3071553228621291,440,569,64101,1416,0.8475220224495181,0.2845268177154121,0.991201484459564,0.9783872887952744,0.9847527018826764,64670,0.0,0.0,0.0,0,0.2370689655172413,0.4360753221010902,0.3071553228621291,1856,7947,,
proposed,B:none,B,none,fallalld+sisfall,kfall,180992,62295,153.0,2574e6104c95,0.9031707017139252,0.8151350197459708,0.9756074519139932,0.8553987455197133,0.8347816581953327,7637,1291,51635,1732,0.9811346432231436,0.92107289596136,0.9756074519139932,0.9675454869113872,0.9715597452325176,52926,0.0,0.0,0.0,0,0.8151350197459708,0.8553987455197133,0.8347816581953327,9369,7947,0.9268,
proposed,B:instance_norm,B,instance_norm,fallalld+sisfall,kfall,180992,62295,516.7,2574e6104c95,0.9254406431354112,0.8632724943964137,0.9797641990704,0.8830658368817557,0.8730569948186528,8088,1071,51855,1281,0.9878450790551324,0.945906691791298,0.9797641990704,0.9758920505871724,0.9778242914521696,52926,0.0,0.0,0.0,0,0.8632724943964137,0.8830658368817557,0.8730569948186528,9369,7947,0.9396,
proposed,B:coral,B,coral,fallalld+sisfall,kfall,180992,62295,225.0,2574e6104c95,0.7695011244732932,0.978119329704344,0.8126629633828364,0.4803186749829655,0.6442632170978627,9164,9915,43011,205,0.9730246463658216,0.8803870073194853,0.8126629633828364,0.9952563865235098,0.8947390318487238,52926,0.0,0.0,0.0,0,0.978119329704344,0.4803186749829655,0.6442632170978627,9369,7947,0.7978,3000.0
proposed,B:dann,B,dann,fallalld+sisfall,kfall,180992,62295,518.0,2574e6104c95,0.903655057035542,0.7807663571352332,0.98395873483732,0.8960068593826556,0.8344265100096959,7315,849,52077,2054,0.9798728811551184,0.9218678846565,0.98395873483732,0.9620550146865936,0.972883604061388,52926,0.0,0.0,0.0,0,0.7807663571352332,0.8960068593826556,0.8344265100096959,9369,7947,,
proposed,C:none,C,none,fallalld+kfall,sisfall,128821,114466,339.3,2574e6104c95,0.892629074343902,0.7949110122358176,0.9868840539180044,0.8024985962942167,0.7986867840178821,5717,1407,105867,1475,0.9781561388141596,0.8705216893751287,0.9868840539180044,0.9862588735071082,0.9865713646699222,107274,0.0,0.0,0.0,0,0.7949110122358176,0.8024985962942167,0.7986867840178821,7192,7947,0.9382,
proposed,C:instance_norm,C,instance_norm,fallalld+kfall,sisfall,128821,114466,268.1,2574e6104c95,0.9094767170256048,0.7988042269187987,0.9915356936443128,0.8635202164437096,0.8299024918743227,5745,908,106366,1447,0.9845904045409856,0.90127592455681,0.9915356936443128,0.9865786129687516,0.9890509421768866,107274,0.0,0.0,0.0,0,0.7988042269187987,0.8635202164437096,0.8299024918743227,7192,7947,0.9351,
proposed,C:coral,C,coral,fallalld+kfall,sisfall,128821,114466,130.7,2574e6104c95,0.7941031702276145,0.6960511679644049,0.9625351902604544,0.5546814404432133,0.6173768267867054,5006,4019,103255,2186,0.9359577531161924,0.6833903631818931,0.9625351902604544,0.9792680266689427,0.9708295136685235,107274,0.0,0.0,0.0,0,0.6960511679644049,0.5546814404432133,0.6173768267867054,7192,7947,0.8503,3000.0
proposed,C:dann,C,dann,fallalld+kfall,sisfall,128821,114466,367.7,2574e6104c95,0.8550161104385362,0.7201056729699666,0.9826985103566568,0.7361762615493959,0.7280522949321713,5179,1856,105418,2013,0.9674448737074336,0.7757996682076791,0.9826985103566568,0.9812623916746565,0.9819799259449012,107274,0.0,0.0,0.0,0,0.7201056729699666,0.7361762615493959,0.7280522949321713,7192,7947,,
proposed,D:none,D,none,fallalld+kfall+sisfall,umafall,243287,12750,153.8,2574e6104c95,0.7260898759825447,0.3406896551724138,0.9942619542619544,0.7816455696202531,0.4745437079731028,247,69,11956,478,0.9419414151552084,0.6331770479809751,0.9942619542619544,0.9615570210712562,0.9776360439919866,12025,0.0,0.0,0.0,0,0.3406896551724138,0.7816455696202531,0.4745437079731028,725,7947,0.9266,
proposed,D:instance_norm,D,instance_norm,fallalld+kfall+sisfall,umafall,243287,12750,438.5,2574e6104c95,0.700294042676183,0.2786206896551724,0.9976715176715176,0.8782608695652174,0.4230366492146596,202,28,11997,523,0.9517079647286544,0.689088558439146,0.9976715176715176,0.9582268370607028,0.9775514361377062,12025,0.0,0.0,0.0,0,0.2786206896551724,0.8782608695652174,0.4230366492146596,725,7947,0.9404,
proposed,D:coral,D,coral,fallalld+kfall+sisfall,umafall,243287,12750,209.0,2574e6104c95,0.487717890359076,0.0027586206896551,0.9985031185031183,0.1,0.0053691275167785,2,18,12007,723,0.6383731593662628,0.1213245401872176,0.9985031185031183,0.9432050274941084,0.9700666532013732,12025,0.0,0.0,0.0,0,0.0027586206896551,0.1,0.0053691275167785,725,7947,0.6693,3000.0
proposed,D:dann,D,dann,fallalld+kfall+sisfall,umafall,243287,12750,677.6,2574e6104c95,0.63739448372527,0.1779310344827586,0.9993347193347192,0.9416058394160584,0.2993039443155453,129,8,12017,596,0.9486060362750016,0.6619604066977139,0.9993347193347192,0.9527471656227702,0.9754850231349949,12025,0.0,0.0,0.0,0,0.1779310344827586,0.9416058394160584,0.2993039443155453,725,7947,,
