model,fold,lodo_fold,method,train_datasets,test_dataset,n_train,n_test,seconds,signature,macro_f1_3class,bin_sensitivity,bin_specificity,bin_precision,bin_f1,bin_tp,bin_fp,bin_tn,bin_fn,bin_auc,bin_auprc,bkg_recall,bkg_precision,bkg_f1,bkg_support,alert_recall,alert_precision,alert_f1,alert_support,fall_recall,fall_precision,fall_f1,fall_support,params,best_val_macro_f1
proposed,A:none,A,none,kfall+sisfall,fallalld,176761,66526,359.2,2574e6104c95,0.6606295392680714,0.2769396551724138,0.9894541518478429,0.4297658862876254,0.33682830930537355,514,682,63988,1342,0.8728083026292637,0.31107446971390007,0.9894541518478429,0.9794581356191643,0.9844307692307693,64670,0.0,0.0,0.0,0,0.2769396551724138,0.4297658862876254,0.33682830930537355,1856,7947,0.9668
proposed,A:instance_norm,A,instance_norm,kfall+sisfall,fallalld,176761,66526,324.1,2574e6104c95,0.680296187194875,0.35129310344827586,0.9853254986856348,0.40724547158026236,0.3772056696557709,652,949,63721,1204,0.874003311907136,0.32139290786740915,0.9853254986856348,0.981455525606469,0.983386704733979,64670,0.0,0.0,0.0,0,0.35129310344827586,0.40724547158026236,0.3772056696557709,1856,7947,0.9665
proposed,A:coral,A,coral,kfall+sisfall,fallalld,176761,66526,279.1,2574e6104c95,0.5685126622206317,0.4660560344827586,0.9046543992577702,0.12302659650120894,0.19466636660290312,865,6166,58504,991,0.786973283293698,0.13431532895299092,0.9046543992577702,0.9833431380788301,0.9423589578383602,64670,0.0,0.0,0.0,0,0.4660560344827586,0.12302659650120894,0.19466636660290312,1856,3000,7947,0.8818
proposed,B:none,B,none,fallalld+sisfall,kfall,180992,62295,112.7,2574e6104c95,0.9033231174391629,0.8384032447433024,0.9702981521369459,0.8332449347618542,0.8358161310917216,7855,1572,51354,1514,0.9819861453700217,0.92019825791839,0.9702981521369459,0.9713626390254975,0.9708301037866043,52926,0.0,0.0,0.0,0,0.8384032447433024,0.8332449347618542,0.8358161310917216,9369,7947,0.9168
proposed,B:instance_norm,B,instance_norm,fallalld+sisfall,kfall,180992,62295,144.4,2574e6104c95,0.909556018533997,0.834774255523535,0.975456297471942,0.8575657894736842,0.8460165503813079,7821,1299,51627,1548,0.9842079252932763,0.925626279045023,0.975456297471942,0.9708703174364375,0.9731579046577822,52926,0.0,0.0,0.0,0,0.8346675205464831,0.857550169974778,0.8459541324102121,9369,7947,0.931
proposed,B:coral,B,coral,fallalld+sisfall,kfall,180992,62295,216.8,2574e6104c95,0.718050128793644,0.9805742341765397,0.7515965687941655,0.4113459299722396,0.579566602529729,9187,13147,39779,182,0.9660701323698847,0.8583824320475408,0.7516154630994218,0.9954456733897202,0.856515373352855,52926,0.0,0.0,0.0,0,0.9805742341765397,0.4113643487216227,0.5795848842344332,9369,3000,7947,0.7759
proposed,C:none,C,none,fallalld+kfall,sisfall,128821,114466,163.2,2574e6104c95,0.8925871425903915,0.7651557285873193,0.9897924939873595,0.8340406183692027,0.7981145757795504,5503,1095,106179,1689,0.9801385478108795,0.8748567421774633,0.9897924939873595,0.984341973523195,0.9870597094012326,107274,0.0,0.0,0.0,0,0.7651557285873193,0.8340406183692027,0.7981145757795504,7192,7947,0.9301
proposed,C:instance_norm,C,instance_norm,fallalld+kfall,sisfall,128821,114466,180.5,2574e6104c95,0.8971921086221115,0.7424916573971079,0.9933441467643604,0.8820614469772051,0.8062811414766722,5340,714,106560,1852,0.980357504779741,0.887618856033631,0.9933441467643604,0.9829170202560602,0.9881030757675511,107274,0.0,0.0,0.0,0,0.7424916573971079,0.8820614469772051,0.8062811414766722,7192,7947,0.9317
proposed,C:coral,C,coral,fallalld+kfall,sisfall,128821,114466,159.7,2574e6104c95,0.7988506891717778,0.6860400444938821,0.9659563361112665,0.574656417423713,0.6254278108759032,4934,3652,103622,2258,0.9395710690159739,0.6870866933861394,0.9659563361112665,0.9786739705326785,0.9722735674676525,107274,0.0,0.0,0.0,0,0.6860400444938821,0.574656417423713,0.6254278108759032,7192,3000,7947,0.8492
proposed,D:none,D,none,fallalld+kfall+sisfall,umafall,243287,12750,170.7,2574e6104c95,0.7313891966424265,0.34344827586206894,0.9955093555093555,0.8217821782178217,0.48443579766536954,249,54,11971,476,0.944289626496523,0.6584688184630244,0.9955093555093555,0.9617578532979835,0.9783425956194836,12025,0.0,0.0,0.0,0,0.34344827586206894,0.8217821782178217,0.48443579766536954,725,7947,0.9218
proposed,D:instance_norm,D,instance_norm,fallalld+kfall+sisfall,umafall,243287,12750,314.9,2574e6104c95,0.6909630881863803,0.2620689655172414,0.998004158004158,0.8878504672897196,0.40468583599574015,190,24,12001,535,0.9560368198437165,0.696528237090796,0.998004158004158,0.9573229100191448,0.9772403403770205,12025,0.0,0.0,0.0,0,0.2620689655172414,0.8878504672897196,0.40468583599574015,725,7947,0.941
proposed,D:coral,D,coral,fallalld+kfall+sisfall,umafall,243287,12750,238.1,2574e6104c95,0.48534754177767014,0.0,0.9999168399168399,0.0,0.0,0,1,12024,725,0.7964741271775755,0.20001843596992896,0.9999168399168399,0.9431327947289984,0.9706950835553402,12025,0.0,0.0,0.0,0,0.0,0.0,0.0,725,3000,7947,0.6802
