model,fold,task,label_source,n_test,macro_f1,seconds,signature,lead_mean_ms@0.5,preimpact_rate@0.5,fa_per_hour@0.5,lead_mean_ms@0.7,preimpact_rate@0.7,fa_per_hour@0.7,lead_mean_ms@0.9,preimpact_rate@0.9,fa_per_hour@0.9
proposed,kfall:SA06,preimpact,kfall,1835,0.8648916062353361,104.1,2574e6104c95,533.2,0.7465,339.394,443.1,0.7183,252.121,359.5,0.6197,101.818
proposed,kfall:SA07,preimpact,kfall,2020,0.8032882778255432,106.9,2574e6104c95,611.6,0.9846,472.131,610.5,0.9692,367.213,505.7,0.8154,153.005
proposed,kfall:SA08,preimpact,kfall,1965,0.8840837355008057,191.0,2574e6104c95,568.9,0.8243,241.519,521.7,0.8108,209.62,488.1,0.7973,136.709
proposed,kfall:SA09,preimpact,kfall,1872,0.8697702114483409,85.2,2574e6104c95,559.3,0.8133,340.771,553.7,0.8,292.089,469.5,0.7333,155.781
proposed,kfall:SA10,preimpact,kfall,2013,0.8542431804935089,188.0,2574e6104c95,548.1,0.92,313.823,524.4,0.9067,282.441,475.1,0.8667,183.811
proposed,kfall:SA11,preimpact,kfall,2137,0.877060233413972,135.3,2574e6104c95,444.3,0.8961,183.972,413.0,0.8571,121.254,331.4,0.7532,62.718
proposed,kfall:SA12,preimpact,kfall,1627,0.8862976736099185,132.6,2574e6104c95,640.9,0.8571,245.795,571.6,0.8312,155.87,394.2,0.7662,71.94
proposed,kfall:SA13,preimpact,kfall,2068,0.8627794159798531,109.5,2574e6104c95,634.1,0.8533,261.74,552.4,0.84,201.669,355.8,0.76,55.781
proposed,kfall:SA14,preimpact,kfall,1963,0.8320135668549988,97.7,2574e6104c95,784.5,0.9861,480.0,669.6,0.9306,320.0,400.0,0.8194,123.429
proposed,kfall:SA15,preimpact,kfall,1939,0.8749357681095659,114.8,2574e6104c95,678.9,0.9467,380.679,608.9,0.9333,310.183,510.1,0.92,169.191
proposed,kfall:SA16,preimpact,kfall,2015,0.8002013060377212,68.4,2574e6104c95,800.3,0.9605,749.907,729.0,0.9342,517.793,501.6,0.8289,218.723
proposed,kfall:SA17,preimpact,kfall,2269,0.8893242783620724,190.3,2574e6104c95,854.0,0.9459,235.749,811.1,0.9459,208.696,651.8,0.9189,115.942
proposed,kfall:SA18,preimpact,kfall,2151,0.8522416335081853,87.8,2574e6104c95,672.3,0.9333,174.194,564.8,0.8933,99.539,427.2,0.7733,37.327
proposed,kfall:SA19,preimpact,kfall,2141,0.8781808784060857,178.6,2574e6104c95,706.3,0.9178,235.591,646.6,0.9178,165.327,546.8,0.8904,82.664
proposed,kfall:SA20,preimpact,kfall,1834,0.87921125424197,97.1,2574e6104c95,662.5,0.875,283.425,618.7,0.8611,223.757,459.6,0.6806,114.365
proposed,kfall:SA21,preimpact,kfall,1956,0.861235839133117,94.2,2574e6104c95,637.7,0.9589,246.194,550.9,0.9041,162.581,346.9,0.7534,37.161
