model,fold,arm,variant,n_channels,input_len,params,folds,seconds,signature,macro_f1_3class,bin_sensitivity,bin_specificity,bin_precision,bin_f1,bin_tp,bin_fp,bin_tn,bin_fn,bin_auc,bin_auprc,bkg_recall,bkg_precision,bkg_f1,bkg_support,alert_recall,alert_precision,alert_f1,alert_support,fall_recall,fall_precision,fall_f1,fall_support,best_val_macro_f1
proposed,rate:25Hz_2.0s,rate,25Hz_2.0s,6,50,7947.0,5,776.7,2574e6104c95,0.93793,0.87242,0.99311,0.89579,0.88362,1306.6,151.6,21834.4,187.0,0.99264,0.94958,0.99311,0.99137,0.99223,21986.0,0.0,0.0,0.0,0.0,0.87242,0.89579,0.88362,1493.6,0.94886
proposed,window:50Hz_1.0s,window,50Hz_1.0s,6,50,7947.0,5,913.5,2574e6104c95,0.89895,0.834,0.99263,0.78213,0.80412,601.6,176.4,23474.0,117.6,0.99041,0.8855,0.99263,0.99496,0.99379,23650.4,0.0,0.0,0.0,0.0,0.834,0.78213,0.80412,719.2,0.9127
proposed,window:50Hz_1.5s,window,50Hz_1.5s,6,75,7947.0,5,694.5,2574e6104c95,0.93233,0.87215,0.99373,0.87124,0.87084,943.2,142.6,22410.0,135.6,0.99407,0.9393,0.99373,0.9939,0.99381,22552.6,0.0,0.0,0.0,0.0,0.87215,0.87124,0.87084,1078.8,0.94298
proposed,window:50Hz_2.0s,window,50Hz_2.0s,6,100,7947.0,5,736.7,2574e6104c95,0.94837,0.91308,0.99273,0.89461,0.90329,1316.4,156.8,21298.0,122.0,0.99493,0.96145,0.99273,0.99418,0.99345,21454.8,0.0,0.0,0.0,0.0,0.91308,0.89461,0.90329,1438.4,0.95854
proposed,rate:100Hz_2.0s,rate,100Hz_2.0s,6,200,7947.0,5,777.2,2574e6104c95,0.95166,0.92966,0.99229,0.89207,0.90954,1336.0,163.2,21289.4,102.4,0.99705,0.96992,0.99229,0.99528,0.99378,21452.6,0.0,0.0,0.0,0.0,0.92966,0.89207,0.90954,1438.4,0.95872
proposed,channels:accel+gyro,channels,accel+gyro,6,100,7947.0,5,841.7,2574e6104c95,0.94955,0.89693,0.99434,0.91437,0.90538,1291.8,121.4,21333.4,146.6,0.99554,0.96218,0.99434,0.99311,0.99372,21454.8,0.0,0.0,0.0,0.0,0.89693,0.91437,0.90538,1438.4,0.95822
proposed,channels:accel_only,channels,accel_only,3,100,7443.0,5,543.5,2574e6104c95,0.93567,0.91426,0.98893,0.85002,0.87977,1318.8,238.6,21216.2,119.6,0.99485,0.95548,0.98893,0.99425,0.99157,21454.8,0.0,0.0,0.0,0.0,0.91426,0.85002,0.87977,1438.4,0.94522
proposed,placement:waist,placement,waist,6,100,7947.0,5,445.1,2574e6104c95,0.76846,0.59771,0.98391,0.51878,0.55097,218.0,205.8,12728.2,153.2,0.94219,0.56762,0.98391,0.98802,0.98595,12934.0,0.0,0.0,0.0,0.0,0.59771,0.51878,0.55097,371.2,0.78852
proposed,placement:neck,placement,neck,6,100,7947.0,5,560.9,2574e6104c95,0.81519,0.71892,0.98243,0.58659,0.64413,419.8,286.0,16091.6,163.4,0.96522,0.68745,0.98243,0.99009,0.98624,16377.6,0.0,0.0,0.0,0.0,0.71892,0.58659,0.64413,583.2,0.82802
proposed,placement:wrist,placement,wrist,6,100,7947.0,5,565.0,2574e6104c95,0.73171,0.44249,0.99032,0.52035,0.47562,176.4,174.6,18018.4,241.6,0.94344,0.462,0.99032,0.98639,0.98835,18193.0,0.0,0.0,0.0,0.0,0.44172,0.52002,0.47507,418.0,0.88838
